Numero;Producto ;ServicioID;InstanciaId;Repositorio;Componentes_Relacionados;Topic;Libreria;Tipo_Componente;Versionada;Tiene_Replica;Flujo_IC;Tipo Servicio;Tecnologia;Pais; ;IP_Nodos_PRD;NombreServidor;IP_NAT;IP_F5_PRD;Puerto;Prioridad_Migracion;FechaModificacion;Modificado Por
69;FastTrack;Gmg.BuroRegional.Core.Service_CRI;Gmg.BuroRegional.Core.Service_CRI_CRI;GMG-Buro-Service-CRI_APP;;;;Backend;;;;Frontend Netcore;;CRI;Vlan2;10.1.0.31|10.1.0.32;CRI01AP010|CRI01AP011;172.16.20.219;10.1.0.30;81;;15/12/2025;Michell Bonilla
118;FastTrack;Gmg.Comparison.Service;Gmg.Comparison.Service_CRI;GMG-Face-ComparisonService-CRI_APP;;;;Backend;;;;Frontend Netcore;;CRI;Vlan2;10.1.0.31|10.1.0.32;CRI01AP010|CRI01AP011;172.16.20.219;10.1.0.30;85;;12/12/2025;
128;FastTrack;Gmg.ConsultaServiceBlaze.Service;Gmg.ConsultaServiceBlaze.Service_CRI;GMG-Blaze-ConsultaBlaze-CRI_APP;;;;Backend;;;;Frontend Netcore;;CRI;Vlan2;10.1.0.31|10.1.0.32;CRI01AP010|CRI01AP011;172.16.20.219;10.1.0.30;82;;12/12/2025;
158;FastTrack;Gmg.Documento.Service;Gmg.Documento.Service_CRI;GMG-Documento-Service-CRI_APP;;;;Backend;;;;Frontend Netcore;;CRI;Vlan2;10.1.0.31|10.1.0.32;CRI01AP010|CRI01AP011;172.16.20.219;10.1.0.30;86;;12/12/2025;
199;FastTrack;Gmg.FastTrack.Catalogos.Service;Gmg.FastTrack.Catalogos.Service_CRI;GMG-FastTrack-CatalogoService-CRI_APP;;;;Backend;;;;Frontend Netcore;;CRI;Vlan2;10.1.0.31|10.1.0.32;CRI01AP010|CRI01AP011;172.16.20.219;10.1.0.30;88;;12/12/2025;
228;FastTrack;Gmg.FastTrack.Micro.Services;Gmg.FastTrack.Micro.Services_CRI;GMG-FastTrack-MicroServices-CRI_APP;;;;Backend;;;;Frontend Netcore;;CRI;Vlan2;10.1.0.31|10.1.0.32;CRI01AP010|CRI01AP011;172.16.20.219;10.1.0.30;83;;12/12/2025;
290;FastTrack;Gmg.Genesys.Core.Service.FastTrack;Gmg.Genesys.Core.Service.FastTrack_CRI;GMG-Genesys-FastTrack-CRI_APP;;;;Backend;;;;Frontend Netcore;;CRI;Vlan2;10.1.0.31|10.1.0.32;CRI01AP010|CRI01AP011;172.16.20.219;10.1.0.30;91;;12/12/2025;
299;FastTrack;Gmg.Genesys.Fasttrack;Gmg.Genesys.Fasttrack_CRI;;;;;Backend;;;;Frontend Netcore;;CRI;Vlan2;10.1.0.31|10.1.0.32;CRI01AP010|CRI01AP011;172.16.20.219;10.1.0.30;92;;12/12/2025;
341;FastTrack;Gmg.Identificacion.Service;Gmg.Identificacion.Service_CRI;GMG-Face-LivenessService-CRI_APP;;;;Backend;;;;Frontend Netcore;;CRI;Vlan2;10.1.0.31|10.1.0.32;CRI01AP010|CRI01AP011;172.16.20.219;10.1.0.30;94;;12/12/2025;
361;FastTrack;Gmg.LivenessCheck.Service;Gmg.LivenessCheck.Service_CRI;;;;;Backend;;;;Frontend Netcore;;CRI;Vlan2;10.1.0.31|10.1.0.32;CRI01AP010|CRI01AP011;172.16.20.219;10.1.0.30;89;;12/12/2025;
403;FastTrack;Gmg.Persona.CIC.Service;Gmg.Persona.CIC.Service_CRI;GMG-Persona-CIC-CRI_APP;;;;Backend;;;;Frontend Netcore;;CRI;Vlan2;10.1.0.31|10.1.0.32;CRI01AP010|CRI01AP011;172.16.20.219;10.1.0.30;90;;12/12/2025;
420;FastTrack;Gmg.PreanalisisReg.Service;Gmg.PreanalisisReg.Service_CRI;GMG-Preanalisis-Service-CRI_APP;;;;Backend;;;;Frontend Netcore;;CRI;Vlan2;10.1.0.31|10.1.0.32;CRI01AP010|CRI01AP011;172.16.20.219;10.1.0.30;84;;12/12/2025;
652;FastTrack;Gmg.Signature.Service;Gmg.Signature.Service_CRI;;;;;Backend;;;;Frontend Netcore;;CRI;Vlan2;10.1.0.31|10.1.0.32;CRI01AP010|CRI01AP011;172.16.20.219;10.1.0.30;93;;12/12/2025;
672;FastTrack;Gmg.Template.Manager;Gmg.Template.Manager_CRI;;;;;Backend;;;;Frontend Netcore;;CRI;Vlan2;10.1.0.38|10.1.0.39;CRI01AP014|CRI01AP015;;10.1.0.37;81;;12/12/2025;
716;FastTrack;Notification;Notification_CRI;;;;;Backend;;;;;;CRI;Vlan2;10.1.0.38|10.1.0.39;CRI01AP014|CRI01AP015;;10.1.0.37;82;;12/12/2025;
721;FastTrack;OTP;OTP_CRI;;;;;Backend;;;;;;CRI;Vlan2;10.1.0.38|10.1.0.39;CRI01AP014|CRI01AP015;;10.1.0.37;83;;12/12/2025;
166;Por_Definir;GMG.Email.Service;GMG.Email.Service_CRI;;;;;Backend;;;;;;CRI;;10.1.1.51;CRI01AP019;;10.1.1.50;80| 443;;12/12/2025;
519;Por_Definir2;GMG.Report.WsFacade;GMG.Report.WsFacade_CRI;;;;;Backend;;;;;;CRI;;10.1.1.51;CRI01AP019;;10.1.1.50;80| 443;;12/12/2025;
657;Por_Definir3;GMG.SOA.EmailService;GMG.SOA.EmailService_REG;;;;;Backend;;;;;;REG;;10.1.1.51;CRI01AP019;;10.1.1.50;80| 443;;12/12/2025;
10;Por_Definir;com.backend.service;com.backend.service_;;;;;Backend;;;;;;;;10.1.1.228|10.1.1.229;CRI01WB004|CRI01WB005;;10.1.1.227;5677;;12/12/2025;
11;Por_Definir;com.frontend.web;com.frontend.web_;;;;;Backend;;;;;;;;10.1.1.228|10.1.1.229;CRI01WB004|CRI01WB005;;10.1.1.227;5678;;12/12/2025;
208;FastTrack;Gmg.FastTrack.Engine.Service;Gmg.FastTrack.Engine.Service_CRI;;;;;Backend;;;;Frontend Netcore;;CRI;DMZ;172.16.20.70|172.16.20.71;CRI01WB006|CRI01WB007;;172.16.20.69;82;2;12/12/2025;
218;FastTrack;Gmg.FastTrack.Web;Gmg.FastTrack.Web_CRI;;;;;FrontEnd;;;;Frontend Netcore;;CRI;DMZ;172.16.20.70|172.16.20.71;CRI01WB006|CRI01WB007;;172.16.20.69;80;2;12/12/2025;
355;FastTrack;Gmg.Liveness.Check.FrontEnd;Gmg.Liveness.Check.FrontEnd_CRI;;;;;FrontEnd;;;;Frontend Netcore;;CRI;DMZ;172.16.20.70|172.16.20.71;CRI01WB006|CRI01WB007;;172.16.20.69;81;2;12/12/2025;
