"Producto","Producto_Instancia","Nombre","Nombre_Instancia","Repositorio","Componentes_Relacionados","Topic","Librería","Versionada","Tiene Replica","Flujo_IC","Tipo Componente","Tipo Servicio","Tecnología","País","Ubicación","IP Nodos PRD","Nombre Servidor","IP NAT","Listener ","IP F5 PRD","Puerto","Prioridad Migración","Fecha Modificación","Modificado Por"
"FastTrack","FastTrack_GTM","Gmg.Template.Manager","Gmg.Template.Manager_GTM","GMG-TemplateManager_APP","Aplica para GTM??","","V-REL_APP-TemplateManager_PRD","","","","Backend","Frontend Netcore","","GTM","Vlan2","10.1.0.45/10.1.0.46","GTM01AP012/GTM01AP013","","","10.1.0.44","81","","12/12/2025",""
"Chatcenter","Chatcenter","Gmg.Chatcenter.FrontEnd.Web","Gmg.Chatcenter.FrontEnd.Web_CRI","GMG-Chatcenter-Frontend_App","Chatcenter_Configuration| Chatcenter","","V-REL_APP-CHATCENTER-FRONTEND-PRD","","","","FrontEnd","","Net6","CRI","Vlan2","10.1.0.84/10.1.0.85/10.1.0.90","REG01WB043/REG01WB044/REG01WB064","",""," 10.1.0.83","443","","12/12/2025",""
"BusDatos","BusDatos","Gmg.Bus.Service.Enrutador","Gmg.Bus.Service.Enrutador_REG","GMG-BusDatos_APP","Gmg.Bus.FrontEnd.Web","Master","","","","","Backend","WCF","netFramework 4.5.1","REG","VLan2","10.1.2.227/10.1.2.228","REG01WS020/REG01WS021","","","10.1.1.143","82/ 811","","25/2/2026","Jose Pablo Quesada"
"BusDatos","BusDatos","Gmg.BusDatos.Enrutador","Gmg.BusDatos.Enrutador_REG","GMG-BusDatosEnrutador_APP","Gmg.Bus.FrontEnd.Web.Blazor| Gmg.Bus.Datos.Facade","Master","","","","","Backend","Rest API","6.0","REG","VLan2","10.1.2.227/10.1.2.228","REG01WS020/REG01WS021","",""," 10.1.1.143","93","","25/2/2026","Jose Pablo Quesada"
"BusDatos","BusDatos","GMg.Bus.Service.WebHost","GMg.Bus.Service.WebHost_REG","GMG-BusDatos_APP","Gmg.Bus.Service.FacturaElectronica|Gmg.Bus.FrontEnd.Web","Master","","","","","Backend","WCF","netFramework 4.5.1","REG","VLan2","10.1.2.227/10.1.2.228","REG01WS020/REG01WS021","","","10.1.1.143","82","","25/2/2026","Jose Pablo Quesada"
"BusDatos","BusDatos","Gmg.Bus.FrontEnd.Web","Gmg.Bus.FrontEnd.Web_REG","GMG-BusDatos_APP","Gmg.Bus.Service.FacturaElectronica|GMg.Bus.Service.WebHost","Master","","","","","FrontEnd","EntityFramework","netFramework 4.5.1","REG","VLan2","10.1.2.221/10.1.10.32","REG01WB013/REG01WB014","","","10.1.1.142","80","","25/2/2026","Jose Pablo Quesada"
"BusDatos","BusDatos","Gmg.Bus.Service.FacturaElectronica","Gmg.Bus.Service.FacturaElectronica_REG","GMG-BusDatos_APP","GMg.Bus.Service.WebHost|Gmg.Bus.FrontEnd.Web","Master","","","","","Backend","WCF","netFramework 4.5.1","REG","VLan2","10.1.2.227/10.1.2.228","REG01WS020/REG01WS021","",""," 10.1.1.143","82","","25/2/2026","Jose Pablo Quesada"
"BusDatos","BusDatos","Gmg.Bus.Datos.Facade","Gmg.Bus.Datos.Facade_REG","GMG-BusDatos-Facade_APP","Gmg.BusDatos.Enrutador","Master","","","","","Backend","Rest API","6.0","REG","DMZ","172.16.20.58/172.16.20.59","REG01WB062/REG01WB063","N/A",""," 10.1.1.143","7001","","25/2/2026","Jose Pablo Quesada"
"BusDatos","BusDatos","Gmg.Bus.FrontEnd.Web.Blazor","Gmg.Bus.FrontEnd.Web.Blazor_REG","GMG-BusDatos-FrontEnd_APP","Gmg.BusDatos.Enrutador","Master","","","","","FrontEnd","Blazor","6.0","REG","VLan2","10.1.2.221/10.1.10.32","REG01WB013/REG01WB014","","","10.1.1.142","8093","","25/2/2026","Jose Pablo Quesada"
"OtrosApp","OtrosApp","Gmg.ValidaContacto.Service","Gmg.ValidaContacto.Service_REG","GMG-ValidaContacto_APP","Gmg.Contactabilidad.Service","master","On Premise V-REL_APP-ValidaContacto-Service_PRD","","","","Backend","Rest Api","Net6","REG","Vlan2","10.1.3.19/10.1.3.20","REG01WS031/REG01WS032","172.16.20.144","","10.1.3.18","8063","","25/2/2026","Jose Pablo Quesada"
"Corredora_Seguros ","Corredora_Seguros ","Gmg.Corredora.Service.Poliza","Gmg.Corredora.Service.Poliza_CRI","GMG-Corredora-Service_Poliza_CRI_APP","Gmg.Corredora.Admin.Service","master","V-REL_APP-Corredora-Poliza_PRD","","","","Backend","Rest API","Net6","CRI","VLan2","10.1.2.134/10.1.2.135","REG01WS051/REG01WS052","",""," 10.1.2.133","3114 / HTTPS 3115","","12/12/2025",""
"Corredora_Seguros ","Corredora_Seguros ","Gmg.Corredora.Service.Poliza","Gmg.Corredora.Service.Poliza_SLV","GMG-Corredora-Service_Poliza_SLV_APP","Gmg.Corredora.Admin.Service","master","V-REL_APP-Corredora-Poliza-SLV_PRD","","","","Backend","Rest API","","SLV","Vlan2","10.1.2.134/10.1.2.135","REG01WS051/REG01WS052","",""," 10.1.2.133","3134 / HTTPS 3135","","",""
"Corredora_Seguros ","Corredora_Seguros ","Gmg.Corredora.Service.Tramite","Gmg.Corredora.Service.Tramite_SLV","GMG-Corredora-Tramite-SLV_APP","Gmg.Corredora.Admin.Service","master","V-REL_APP_Corredora-Tramite-SLV_PRD","","","","Backend","Rest API","Net10","SLV","Vlan2","10.1.2.134/10.1.2.135","REG01WS051/REG01WS052","",""," 10.1.2.133","3140 / HTTPS 3141","","",""
"Corredora_Seguros ","Corredora_Seguros ","Gmg.Corredora.Facade.Service","Gmg.Corredora.Facade.Service_SLV","GMG-Corredora-Service_Facade_SLV_APP","Gmg.Corredora.Catalogo.Service |Gmg.Corredora.Poliza.Service|Gmg.Corredora.Pago.Service|Gmg.Corredora.Admin.Service|Gmg.Corredora.Reporteria","master","V-REL_APP_Corredora-Facade-SLV_PRD","","","","Backend","Rest API","Net10","SLV","Vlan2","10.1.2.134/10.1.2.135","REG01WS051/REG01WS052","",""," 10.1.2.133","HTTPS: 443","","",""
"Corredora_Seguros ","Corredora_Seguros ","Gmg.CorredoraFacade.Service","Gmg.CorredoraFacade.Service_CRI","GMG-Corredora-Service_Facade_CRI_APP","Gmg.Corredora.Catalogo.Service
Gmg.Corredora.Poliza.Service
Gmg.Corredora.Pago.Service
Gmg.Corredora.Admin.Service
Gmg.Corredora.Reporteria","master","V-REL_APP-Corredora-Facade_PRD","","","","Backend","Rest API","Net10","CRI","Vlan2","10.1.2.134/10.1.2.135","REG01WS051/REG01WS052","",""," 10.1.2.133","HTTPS: 443","","",""
"Corredora_Seguros ","Corredora_Seguros ","GMG.Corredora.FrontEnd.CRI.APP","GMG.Corredora.FrontEnd.CRI.APP_CRI","GMG-Corredora-FrontEnd_CRI_APP","Gmg.Corredora.Facade.Service
Gmg.Documento.Service","master","","","","","FrontEnd","","Angular","CRI","VLan2","10.1.2.131/10.1.2.132","REG01WB071/REG01WB072","",""," 10.1.2.130","3510 /
3511","","12/12/2025",""
"Corredora_Seguros ","Corredora_Seguros ","GMG.Corredora.FrontEnd.SLV.APP","GMG.Corredora.FrontEnd.SLV.APP_SLV","GMG-Corredora-FrontEnd_SLV_APP","Gmg.Corredora.Facade.Service
Gmg.Documento.Service","master","","","","","FrontEnd","","Angular","SLV","Vlan2","10.1.2.131/10.1.2.132","REG01WB071/REG01WB072","",""," 10.1.2.130","","","",""
"Corredora_Seguros ","Corredora_Seguros ","Gmg.Corredora.Service.Admin","Gmg.Corredora.Service.Admin_CRI"," GMG-Corredora-Service_Administracion_CRI_APP","Gmg.Documento.Service","master","V-REL_APP-Corredora-Admin_PRD","","","","Backend","Rest API","Net6","CRI","VLan2","10.1.2.134/10.1.2.135","REG01WS051/REG01WS052","",""," 10.1.2.133","3112 / HTTPS 3113","","12/12/2025",""
"Corredora_Seguros ","Corredora_Seguros ","Gmg.Corredora.Service.Admin","Gmg.Corredora.Service.Admin_SLV"," GMG-Corredora-Service_Administracion_SLV_APP","Gmg.Documento.Service","master","V-REL_APP-Corredora-Admin-SLV_PRD","","","","Backend","Rest API","Net6","SLV","Vlan2","10.1.2.134/10.1.2.135","REG01WS051/REG01WS052","",""," 10.1.2.133","3132 / HTTPS 3133","","",""
